novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
星白Knut,在历经战火和分裂的古老大陆上，一位英雄带领着12位龙骑士统一了各国，赶走了来自冰海对岸的野蛮侵略者，建立了一个统一的帝国——罗兰帝国。统一给商人们带来了财富，给平民们带来了安定。而盛世向来无法永远持续。在罗兰高地的圣殿中，一位神圣的守卫听到了来自远方国度的歌声。神秘的少女、突如其来的剧变、敌友不分的战场，濒临崩溃的帝国中响起了古老的歌谣,霜天鹅挽歌,9.2万,152,2018-08-22 15:35,"
                        ,
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105403.html,13万
chinakings,"      不久的将来，当宇宙中爆发的强能量潮汐席卷了地球，异世界的空间在世界各地出现。人类先是陷入了病毒性寄生生物的侵袭，继而又在与未知的异生物生物战斗中逐渐落败。人类被逼到狭小的国土，活在与恐怖为邻，与绝望为伴的环境中。,
     居住在新东京十七区外围难民营的修女二藤院红，不顾危险和自身已经相当窘迫的条件从逃难人群的脚下救起了一对陷入深坑昏迷的兄妹，于是这微不足道的善举，就以核裂变般的速度不断发酵，直到改变并终结了这个连神都无能为力的末世。,
       故事就是从这一对谜一样的兄妹身上开始的............,
扉页寄语：,
   不想多说什么，只要静心看下去，你就会明白很多留日的粉丝为什么会追番的原因了！",当神明都已无能为力之时,22.2万,177,2018-08-03 16:39,"
                        ,
                            连载中                    ",幻想|后宫|超能力|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/104961.html,15万
空雨雾,"在与物质世界平行的信息世界中，精灵掌管着一切。,
林绊在死亡的瞬间被精灵香草叶拉到了这个神奇而不讲道理的世界，开始了补完这个世界的任务。,
简单地说，被拉到这里要求打工了。,
精灵、人类、妖精、人偶、冰葵······无数种族开始交织成这世界最棒的物语。",尚未完成的世界,4.4万,48,2018-08-20 22:51,"
                        ,
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105373.html,4.9万
双重杏仁以及沙拉没有酱,"向往魔法全盛时期的少年成功的穿越回三千年前？可事情真的会那么顺利吗，身处陌生世界的他又该如何生存？怪人接踵而至，心动又心累的“史前”生活即将展开！,
",“史前”生存指南,6.2万,54,2018-07-14 16:54,"
                        ,
                            连载中                    ",幻想|战斗|异界,1小时前,http://www.linovel.net/book/104662.html,3.7万
爱吃山楂的胖贼,"从古至今，神话悠久流传。,
那些衍生而出关于妖魔鬼怪的传闻，也始终非议不断。,
有人说，看见过它们；也有人说，它们就夹缝于人间的至暗。,
看不见，摸不着。如暗流，却始终存在。,
,
于是乎某一天，当平凡的少年几乎快被霉运逼疯的时候——那些稀奇古怪的东西，似乎都悄然而至，一股脑的来了……,
,
,
",灵异侠客,6万,83,2018-08-26 16:59,"
                        ,
                            连载中                    ",超能力|妖怪|悬疑|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/105475.html,6.7万
八格雅鲁,"这是一个真实的世界，没有无聊单调的打僵尸日常，只有僵尸无尽的侵略与植物和人类的日薄西山。,
这是一场奇幻的冒险，由战斗，热血，智斗，悬疑交织而成。,
这是一个残酷的故事，没有龙傲天甚至希望，有的只是奋斗后仍需面对的绝望。,
这还有一个有野心的作者，力图创造pvz的神作。,
（第一卷写的确实不好，第二卷作者正不断进步中，还望大家见谅！）,
（存稿目前较为充足，预计每日18:00一更）",植物大战僵尸奇幻时空之旅,5万,53,2018-08-17 17:12,"
                        ,
                            连载中                    ",幻想|战斗|异界,1小时前,http://www.linovel.net/book/105315.html,5.4万
凪,"我叫羽岛刹那，我现在慌的一批，是这样的，有个妹子刚才扇了我一巴掌，我却对她动心了，请问这是病么？,
什么？抖M，讨厌啦~我才不是抖M，只是碰巧喜欢那个妹子对我动粗的感觉~,
于是，我打算对那位妹子发起积极攻势，总而言之，先讨好她，让她娇羞，再来......,
咳咳咳！有点太猛烈了......,
不过，虽然我很喜欢宫城小姐啦，可总觉得宫城小姐有什么秘密瞒着我？,
就在某一天，当我看到宫城小姐在我面前......",攻略宫城小姐的恋爱计划,1.8万,11,5天前,"
                        ,
                            连载中                    ",恋爱|搞笑|校园|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/105549.html,2.1万
南尼喜嘛斯嘎,"我，姜沐雪，私营军警承包商培育机构武曲学园一年级首席，姜子牙嫡系传人，龙虎山天师府候选掌门人，在不久的未来，将晋升高级干员，拳打獠牙帮，脚踢吸血鬼，大破恐怖组织，出任救世主，走上人生巅峰，想想看还真是有点小激动呢！,
然而——,
“醒醒。打工的。把你的内裤脱下来。”,
“我最近手头有点紧，您看今天脱袜子行不行……”,
“驳回。”,
正是如此完美的我……为什么非得被顾天浩这个偷窥跟踪狂死变态奴役不可啊！,
美少女X魔法，反恐XRPG，萌属性X暴力美学，欢乐动作学园正剧就此开演！ ",无职评定血族杀手的魔道战争,396.9万,807,2018-07-23 17:57,"
                        ,
                            连载中                    ",幻想|战斗|后宫|2018轻之文库创想物语大赏1st,1小时前,http://www.linovel.net/book/104797.html,9.5万
chamomile,"这是一场胜率为零的吉哈德。,
冷战还在继续的二十一世纪初，两极对立格局下战争的阴云笼罩在世间。来自虚空彼端的希格斯生物们出现在混乱战场的每个角落，将人类拖入预言中的毁灭深渊。,
为了改写破灭的未来，少年少女们舍弃一切，自愿背负恐怖分子的污名挑战超级霸权。尽管前进的荆棘之路上环绕着化不开的黑暗，只要爱和正义之心尚存，辉钻弧光就永不泯灭。",辉钻弧光,180万,2421,2016-07-08 21:16,"
                        ,
                            已完结                    ",科幻|超能力|妹控|第一回轻小说新人赏 长篇,54分钟前,http://www.linovel.net/book/100776.html,52.2万
魔王所罗门,"失忆的少年，醒来后唯一所拥有的只有身边的一把黑剑。他渴望回忆起自己的记忆，机缘之下，少年救下了一名美丽的少女，少女作为回报愿意无条件的收留并帮助他寻回记忆，从此以后，少年以一名学生的身份重新开始生活。,
命运的齿轮同时开始旋转，不断回忆起来的记忆碎片，为何都与千年前的魔王有关呢？一个个的邪星士，一个个的记忆碎片，在记忆的碎片面前，他会做出如何的抉择呢？他最后的愿望，又会带领这个世界走向怎样的尽头呢？",魔王战记,26.9万,262,2018-06-21 16:53,"
                        ,
                            连载中                    ",幻想|战斗|后宫,51分钟前,http://www.linovel.net/book/104510.html,17.1万
L.B.Rabbit,"清代文人「蒲松龄」穿越来到现代，变成自己的第十八代孙「蒲望东」？！,
「找不到回去的方法啊。」,
早知道就不去招惹那只变态大妖怪。,
要回到过去，唯有帮妖怪小姐姐的忙，顺道打探一下「苏」的情报。,
说起来，左边一个色气可爱巫女，右边一个文静美女同学，还遇到与在清朝的初恋情人长得一模一样的学生会会长，在找到回去大清朝的办法前，聊斋先生能够顺利解决自己的恋爱烦恼（同时拯救世界）吗？",聊斋先生的花妖狐魅,256.7万,1995,2017-06-25 17:37,"
                        ,
                            连载中                    ",幻想|恋爱|妖怪|第二回新人赏  长篇组,49分钟前,http://www.linovel.net/book/102120.html,17.6万
笹本祐一,"充满朝气的女高中生茉莉香不仅参加了宇宙快艇部的社团活动，而且还在一家复古咖啡店里打工，过着忙碌充实的生活。一天，突然有一对男女自称是她父亲的部下，向她告知了父亲的死讯并邀请她出任宇宙海盗船弁天号的船长。一个世纪前，在独立战争的混乱当中发行了一种私掠船执照，根据上面的要求，船长过世以后海盗船必须要由船长的直系子嗣继承——,
一部紧张刺激的新系列太空歌剧华丽登场！",迷你裙宇宙海盗『官方正版』,188万,1606,2016-07-06 16:42,"
                        ,
                            连载中                    ",战斗|异界|科幻,39分钟前,http://www.linovel.net/book/100755.html,126.7万
